Time (s),Channel 1 (V)
-0.02494786361674579,-0.4686582841952654
-0.02493536361674579,-0.4683136417814751
-0.02492286361674579,-0.4683136417814751
-0.02491036361674579,-0.4683136417814751
-0.02489786361674579,-0.4679689993676847
-0.02488536361674579,-0.4683136417814751
-0.02487286361674579,-0.4683136417814751
-0.02486036361674579,-0.4679689993676847
-0.02484786361674579,-0.4683136417814751
-0.02483536361674579,-0.4679689993676847
-0.02482286361674579,-0.4683136417814751
-0.02481036361674579,-0.4679689993676847
-0.02479786361674579,-0.4683136417814751
-0.02478536361674579,-0.4679689993676847
-0.02477286361674579,-0.4679689993676847
-0.02476036361674579,-0.4679689993676847
-0.02474786361674579,-0.6240920128147113
-0.02473536361674579,-0.7622936207446399
-0.02472286361674579,-0.7622936207446399
-0.02471036361674579,-0.7629829055722206
-0.02469786361674579,-0.7626382631584303
-0.02468536361674579,-0.7619489783308496
-0.02467286361674579,-0.7612596935032689
-0.02466036361674579,-0.7609150510894785
-0.02464786361674579,-0.7609150510894785
-0.02463536361674579,-0.7605704086756883
-0.02462286361674579,-0.7605704086756883
-0.02461036361674579,-0.7602257662618979
-0.02459786361674579,-0.7598811238481075
-0.02458536361674579,-0.7598811238481075
-0.02457286361674579,-0.7595364814343172
-0.02456036361674579,-0.7595364814343172
-0.02454786361674579,-0.7591918390205268
-0.02453536361674579,-0.7595364814343172
-0.02452286361674579,-1.038352194190707
-0.02451036361674579,-1.345428584877905
-0.02449786361674579,-1.344739300050324
-0.02448536361674579,-1.343705372808953
-0.02447286361674579,-1.343360730395163
-0.02446036361674579,-1.343016087981372
-0.02444786361674579,-1.342671445567582
-0.02443536361674579,-1.342326803153792
-0.02442286361674579,-1.342326803153792
-0.02441036361674579,-1.342326803153792
-0.02439786361674579,-1.341637518326211
-0.02438536361674579,-1.341982160740001
-0.02437286361674579,-1.341292875912421
-0.02436036361674579,-1.341292875912421
-0.02434786361674579,-1.341292875912421
-0.02433536361674579,-1.341292875912421
-0.02432286361674579,-1.341292875912421
-0.02431036361674579,-1.34060359108484
-0.02429786361674579,-1.579096141427759
-0.02428536361674579,-1.635617497289376
-0.02427286361674579,-1.634928212461795
-0.02426036361674579,-1.634583570048005
-0.02424786361674579,-1.634238927634214
-0.02423536361674579,-1.633894285220424
-0.02422286361674579,-1.633894285220424
-0.02421036361674579,-1.633549642806634
-0.02419786361674579,-1.633549642806634
-0.02418536361674579,-1.632860357979053
-0.02417286361674579,-1.633205000392843
-0.02416036361674579,-1.632860357979053
-0.02414786361674579,-1.632860357979053
-0.02413536361674579,-1.632515715565263
-0.02412286361674579,-1.632171073151472
-0.02411036361674579,-1.632515715565263
-0.02409786361674579,-1.631826430737682
-0.02408536361674579,-1.631826430737682
-0.02407286361674579,-1.836199382115357
-0.02406036361674579,-1.925461767287056
-0.02404786361674579,-1.924772482459476
-0.02403536361674579,-1.924083197631895
-0.02402286361674579,-1.924083197631895
-0.02401036361674579,-1.923393912804314
-0.02399786361674579,-1.923049270390524
-0.02398536361674579,-1.923049270390524
-0.02397286361674579,-1.922359985562943
-0.02396036361674579,-1.923049270390524
-0.02394786361674579,-1.922015343149153
-0.02393536361674579,-1.922015343149153
-0.02392286361674579,-1.921326058321572
-0.02391036361674579,-1.921670700735363
-0.02389786361674579,-1.921326058321572
-0.02388536361674579,-1.920636773493992
-0.02387286361674579,-1.920636773493992
-0.02386036361674579,-1.920292131080201
-0.02384786361674579,-1.919947488666411
-0.02383536361674579,-1.919602846252621
-0.02382286361674579,-1.919602846252621
-0.02381036361674579,-1.91925820383883
-0.02379786361674579,-1.91891356142504
-0.02378536361674579,-1.91891356142504
-0.02377286361674579,-1.918224276597459
-0.02376036361674579,-1.918224276597459
-0.02374786361674579,-1.917879634183669
-0.02373536361674579,-1.917534991769879
-0.02372286361674579,-1.917190349356088
-0.02371036361674579,-1.916501064528507
-0.02369786361674579,-1.916156422114717
-0.02368536361674579,-1.916156422114717
-0.02367286361674579,-1.916845706942298
-0.02366036361674579,-1.916501064528507
